Depth(m),TVD(m),SPP Avg(bar),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),Annular Press(barg),well_id,SPP_smooth,SPP_ratio,AP_smooth,AP_ratio,mode,distance_to_low_pressure_m,is_core_drill
2200.0,1975.317,87.0945,1149.5371,30.0417,12.6554,2.133,79.1714,1.2183,247.4344,A,86.8622,1.0026743508683869,247.402,1.0001309609461526,drill,5.0,False
2201.0,1975.5159,86.7656,1149.4791,23.9298,13.7115,3.2634,78.8236,1.2162,247.3865,A,86.87010000000001,0.9987970544525676,247.41575,0.9998817779385508,drill,4.0,False
2202.0,1975.7328,86.878,1149.531,26.0692,13.4547,3.1129,79.1259,1.2149,247.3578,A,86.878,1.0,247.4295,0.9997102204870478,drill,3.0,False
2203.0,1975.9408,86.8792,1149.4514,25.5152,13.6348,3.9874,78.9181,1.2159,247.3962,A,86.8786,1.0000069061886356,247.43195,0.9998555158297059,drill,2.0,False
2204.0,1976.1558,86.8107,1149.6467,24.8649,13.6714,3.8308,78.9942,1.2159,247.402,A,86.8792,0.9992115489092901,247.4344,0.9998690562023711,drill,1.0,False
2205.0,1976.3613,86.7474,1149.7695,23.0886,13.8744,3.2558,79.0003,1.215,247.4295,A,86.94855,0.9976865629156553,247.50310000000002,0.9997026299872607,low_pressure_event,0.0,False
2206.0,1976.5781,77.3287,1149.8193,30.8239,14.2518,2.4118,78.8589,1.2159,246.6162,A,87.0179,0.8886527944250551,247.5718,0.9961401096570772,low_pressure_event,0.0,False
2207.0,1976.7904,81.2895,1149.5686,39.2797,12.8786,2.6871,79.1601,1.2158,247.3616,A,87.0387,0.9339466237432315,247.58315,0.9991051491185892,low_pressure_event,0.0,False
2208.0,1977.0249,87.0179,1149.6599,15.7443,12.8096,4.0211,79.1141,1.2159,247.5945,A,87.0179,1.0,247.5945,1.0,low_pressure_event,0.0,False
2209.0,1977.1968,87.0595,1149.6021,13.3171,13.4133,4.2174,79.0024,1.2158,247.5718,A,86.94855,1.0012760419811486,247.62205,0.9997970697682214,drill,1.0,False
2210.0,1977.4302,86.8622,1149.6115,23.5689,13.8723,3.6357,79.0355,1.2149,247.6496,A,86.8792,0.9998043260066852,247.6496,1.0,drill,2.0,False
2211.0,1977.642,87.2783,1149.6465,16.9654,13.7826,4.1899,89.5162,1.2147,248.1021,A,86.8792,1.0045937347489389,248.1021,1.0,drill,3.0,False
2212.0,1977.854,87.6024,1149.4419,30.8831,14.9007,4.8129,98.7673,1.2155,248.6056,A,87.0179,1.0067170087993391,248.3619,1.0009812294075702,drill,4.0,False
2213.0,1978.0634,87.9139,1149.6038,35.1196,14.5073,3.9295,98.7186,1.2145,248.7655,A,87.0595,1.009813977796794,248.5291,1.000951196459489,drill,5.0,False
2214.0,1978.2799,87.7668,1149.7582,36.4494,14.4646,4.0699,98.9529,1.2145,248.8344,A,87.2783,1.005597038439108,248.6056,1.0009203332507393,drill,4.0,False
2215.0,1978.4816,87.7756,1149.5404,32.7795,14.0541,3.4946,99.1112,1.2154,248.9355,A,87.6024,1.0019771147822434,248.7655,1.0006833745032973,drill,3.0,False
2216.0,1978.692,87.9715,1149.4158,35.7408,14.071,3.6406,98.9346,1.216,249.0355,A,87.7668,1.0023323170036962,248.8344,1.000808168002495,drill,2.0,False
2217.0,1978.907,87.8556,1149.5638,31.1197,14.376,4.1917,98.8287,1.2158,249.1278,A,87.7756,1.0009114150173852,248.9355,1.000772489259266,drill,1.0,False
2218.0,1979.1241,83.1116,1149.6161,36.5302,13.9462,3.9823,99.1951,1.2161,248.5291,A,87.7756,0.9468645044864404,248.9724,0.9982194813561664,low_pressure_event,0.0,False
2219.0,1979.3489,75.9502,1149.8158,26.637,13.1545,3.1897,99.0196,1.2142,248.3619,A,87.7756,0.865276910667657,249.0355,0.9972951647455884,low_pressure_event,0.0,False
2220.0,1979.5267,81.0612,1149.6621,17.3166,12.3624,2.5103,99.0655,1.2154,248.9724,A,87.8418,0.9228089588328108,249.1278,0.999376223769487,low_pressure_event,0.0,False
