Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-15.3754,-4.2760,-4.4843,-1.5867
Intra_Well,AP,A,LR,0.8815,1.3018,1.6325,0.5000,-0.7098,1.7489,2.0750,0.6502
Intra_Well,AP,A,RF,0.9884,0.3429,0.5105,0.1309,-16.0852,6.0249,6.5593,2.2369
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,0.6384,0.3179,0.3735,0.1187
Intra_Well,AP,B,LR,0.6487,1.1555,1.4722,0.4368,-0.4379,1.1826,1.4688,0.4434
Intra_Well,AP,B,RF,0.9733,0.2339,0.4057,0.0884,0.2004,0.8647,1.0953,0.3247
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.2648,-0.2879,-0.3259,-0.1048
Intra_Well,AP,C,LR,0.8702,1.7516,2.2879,0.6478,0.4181,1.1484,1.5802,0.4286
Intra_Well,AP,C,RF,0.9908,0.3925,0.6074,0.1462,0.1533,1.4363,1.9061,0.5334
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,-4.2692,-2.4387,-2.6191,-0.9086
Intra_Well,AP,D,LR,0.8588,1.9313,2.5555,0.7316,-2.2748,4.5971,5.0584,1.7269
Intra_Well,AP,D,RF,0.9866,0.4815,0.7877,0.1807,-6.5441,7.0359,7.6775,2.6355
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,0.7090,2.4429,2.7840,2.0075
Intra_Well,SPP,A,LR,0.6472,5.5591,7.3265,5.1923,-0.3342,6.9013,8.8252,5.5499
Intra_Well,SPP,A,RF,0.9695,1.2949,2.1557,1.1984,0.3748,4.4583,6.0411,3.5424
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,-0.2726,-3.0510,-0.5979,-2.1475
Intra_Well,SPP,B,LR,0.1990,4.3353,6.6354,3.6442,-0.4147,3.6779,6.4914,2.9638
Intra_Well,SPP,B,RF,0.9466,0.7809,1.7138,0.6535,-0.6873,6.7288,7.0893,5.1113
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,-0.5098,-0.7127,-1.8984,-0.5130
Intra_Well,SPP,C,LR,0.8604,4.3494,6.4058,3.7140,0.2185,5.6065,6.6511,4.7895
Intra_Well,SPP,C,RF,0.9871,1.0564,1.9435,0.9074,-0.2913,6.3193,8.5495,5.3025
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,1.2933,6.1457,4.4997,5.0821
Intra_Well,SPP,D,LR,0.7426,8.9848,11.8987,8.1051,-2.0004,17.3945,18.3133,14.6275
Intra_Well,SPP,D,RF,0.9831,1.6918,3.0507,1.4355,-0.7071,11.2487,13.8136,9.5454
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.0990,-0.4768,-0.5790,-0.1786
Leave_One_Out,AP,A,LR,0.7608,2.2563,3.0767,0.8418,0.8360,1.6544,2.1731,0.6314
Leave_One_Out,AP,A,RF,0.9803,0.5646,0.8819,0.2113,0.7370,2.1312,2.7522,0.8100
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-1.0974,-0.4766,-0.8433,-0.1820
Leave_One_Out,AP,B,LR,0.8038,2.1122,2.8485,0.7923,-0.7700,2.6383,3.0912,0.9967
Leave_One_Out,AP,B,RF,0.9806,0.5855,0.8954,0.2201,-1.8674,3.1149,3.9345,1.1786
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.4290,-1.3494,-1.4831,-0.4942
Leave_One_Out,AP,C,LR,0.8102,1.9112,2.5151,0.7233,0.4885,2.9405,4.1664,1.0713
Leave_One_Out,AP,C,RF,0.9806,0.5170,0.8050,0.1951,0.0595,4.2899,5.6495,1.5655
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,-0.2542,-0.8831,-1.0846,-0.3304
Leave_One_Out,AP,D,LR,0.8422,1.8486,2.4918,0.6920,0.5940,2.8149,3.9410,1.0634
Leave_One_Out,AP,D,RF,0.9831,0.5362,0.8156,0.2014,0.3397,3.6980,5.0257,1.3938
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-0.4652,-2.3618,-3.4235,-1.8599
Leave_One_Out,SPP,A,LR,0.6465,8.5925,11.3310,7.2068,0.4527,7.3295,9.5053,6.7115
Leave_One_Out,SPP,A,RF,0.9689,1.9770,3.3587,1.6665,-0.0125,9.6913,12.9288,8.5714
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.2216,-1.5696,-0.7781,-1.1516
Leave_One_Out,SPP,B,LR,0.6361,8.3638,10.9417,7.1655,-0.0225,4.7907,7.5499,3.9792
Leave_One_Out,SPP,B,RF,0.9604,2.1663,3.6076,1.8647,-0.2441,6.3603,8.3280,5.1308
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,0.1378,1.7142,1.5011,1.5786
Leave_One_Out,SPP,C,LR,0.6262,8.5289,11.1365,7.4836,0.4000,10.6832,12.2724,8.7566
Leave_One_Out,SPP,C,RF,0.9639,2.1559,3.4618,1.8827,0.5378,8.9690,10.7712,7.1779
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.0749,1.9442,0.9577,0.8656
Leave_One_Out,SPP,D,LR,0.7155,5.5214,7.5760,4.8466,0.2665,14.5994,18.2550,13.5676
Leave_One_Out,SPP,D,RF,0.9691,1.4846,2.4987,1.2872,0.3414,12.6553,17.2974,12.7020
