Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-17.5421,-2.6741,-2.8314,-0.9923
Intra_Well,AP,A,LR,0.9256,0.9706,1.2191,0.3710,-2.1908,1.6267,1.8278,0.6037
Intra_Well,AP,A,RF,0.9960,0.1742,0.2820,0.0665,-19.7328,4.3008,4.6592,1.5960
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,-0.2766,-0.1513,-0.1536,-0.0566
Intra_Well,AP,B,LR,0.8895,0.5242,0.6973,0.1972,0.4604,0.5940,0.6682,0.2223
Intra_Well,AP,B,RF,0.9909,0.1206,0.2005,0.0454,0.1837,0.7453,0.8218,0.2789
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,14.6160,3.7108,3.9847,1.3853
Intra_Well,AP,C,LR,0.9315,1.1492,1.8748,0.4230,-14.5989,4.7161,5.3202,1.7607
Intra_Well,AP,C,RF,0.9958,0.2250,0.4615,0.0831,0.0171,1.0053,1.3355,0.3754
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,-1.0246,-0.6141,-0.7620,-0.2208
Intra_Well,AP,D,LR,0.8112,1.6827,2.2565,0.6346,-1.4715,3.6186,4.0241,1.3594
Intra_Well,AP,D,RF,0.9938,0.2260,0.4086,0.0847,-2.4961,4.2326,4.7861,1.5802
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,-0.1328,-0.6158,-0.1637,-0.5198
Intra_Well,SPP,A,LR,0.8123,3.2929,4.2041,2.8945,-1.1568,4.4651,5.3980,3.5049
Intra_Well,SPP,A,RF,0.9972,0.3329,0.5113,0.2885,-1.2896,5.0808,5.5617,4.0248
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,1.5995,0.4167,0.5779,0.3173
Intra_Well,SPP,B,LR,0.8007,1.1976,1.6165,0.9327,-1.9315,1.3710,1.7731,1.0224
Intra_Well,SPP,B,RF,0.9896,0.2172,0.3688,0.1685,-0.3320,0.9543,1.1952,0.7051
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,22.0258,14.7766,15.4830,12.8764
Intra_Well,SPP,C,LR,0.9638,2.8368,3.5084,2.2719,-23.5707,20.6243,22.8305,17.8822
Intra_Well,SPP,C,RF,0.9988,0.3521,0.6311,0.2820,-1.5449,5.8477,7.3475,5.0058
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,1.4570,2.8534,3.1629,2.3280
Intra_Well,SPP,D,LR,0.6086,9.1969,12.2562,7.4744,-2.0895,8.6396,11.5817,6.9740
Intra_Well,SPP,D,RF,0.9977,0.4720,0.9366,0.3590,-0.6324,5.7862,8.4188,4.6459
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.0831,-0.4066,-0.3533,-0.1471
Leave_One_Out,AP,A,LR,0.7575,2.3129,2.9038,0.8617,0.6902,2.2828,2.8017,0.8726
Leave_One_Out,AP,A,RF,0.9915,0.3179,0.5451,0.1186,0.6071,2.6894,3.1550,1.0197
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,0.7783,0.4563,0.4037,0.1733
Leave_One_Out,AP,B,LR,0.8140,2.0291,2.6318,0.7580,-3.0089,3.7371,3.9464,1.4057
Leave_One_Out,AP,B,RF,0.9909,0.3398,0.5812,0.1273,-2.2306,3.2809,3.5427,1.2324
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5576,-1.4177,-1.8553,-0.5092
Leave_One_Out,AP,C,LR,0.8285,1.5712,2.0202,0.5936,0.2544,5.0083,5.7606,1.8284
Leave_One_Out,AP,C,RF,0.9900,0.2876,0.4886,0.1080,-0.3032,6.4261,7.6159,2.3376
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,-0.0033,-0.1531,-0.0061,-0.0523
Leave_One_Out,AP,D,LR,0.8991,1.6193,2.1388,0.6042,-0.6565,4.4922,6.1449,1.6897
Leave_One_Out,AP,D,RF,0.9953,0.2996,0.4623,0.1123,-0.6598,4.6453,6.1510,1.7420
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-1.6917,-6.5808,-7.3204,-5.3473
Leave_One_Out,SPP,A,LR,0.6045,7.9355,10.6832,6.4315,0.3982,6.4004,7.6879,5.5332
Leave_One_Out,SPP,A,RF,0.9963,0.5655,1.0308,0.4387,-1.2935,12.9811,15.0083,10.8805
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.6828,-0.6938,-0.9832,-0.5762
Leave_One_Out,SPP,B,LR,0.6086,7.5816,10.0201,6.2348,-0.4681,3.8649,4.6727,2.9594
Leave_One_Out,SPP,B,RF,0.9955,0.6407,1.0716,0.5133,-1.1509,4.5587,5.6559,3.5356
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,0.2164,3.3702,2.5820,3.0457
Leave_One_Out,SPP,C,LR,0.5789,7.2580,9.8962,5.9694,0.3618,12.2556,13.8070,9.8478
Leave_One_Out,SPP,C,RF,0.9939,0.6659,1.1952,0.5245,0.5782,8.8854,11.2250,6.8021
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.3762,3.2215,3.1923,2.6752
Leave_One_Out,SPP,D,LR,0.8683,4.1167,4.9117,3.4263,-0.2741,16.4844,19.8850,12.7290
Leave_One_Out,SPP,D,RF,0.9969,0.4518,0.7578,0.3733,0.1022,13.2629,16.6927,10.0538
