Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-17.8874,-3.2623,-3.3215,-1.2098
Intra_Well,AP,A,LR,0.9225,1.0148,1.2991,0.3888,-1.4828,1.5526,1.7816,0.5760
Intra_Well,AP,A,RF,0.9964,0.1777,0.2802,0.0678,-19.3701,4.8149,5.1031,1.7858
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,0.8689,0.3295,0.2785,0.1236
Intra_Well,AP,B,LR,0.8465,0.6269,0.8785,0.2362,-1.7586,1.3155,1.6162,0.4920
Intra_Well,AP,B,RF,0.9924,0.1102,0.1959,0.0414,-0.8897,0.9860,1.3377,0.3684
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.3199,-0.2212,-0.3910,-0.0818
Intra_Well,AP,C,LR,0.9186,1.1767,1.8877,0.4340,0.5002,1.1695,1.3932,0.4367
Intra_Well,AP,C,RF,0.9941,0.2988,0.5096,0.1114,0.1803,1.3908,1.7842,0.5185
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,-1.8538,-0.9915,-1.2024,-0.3655
Intra_Well,AP,D,LR,0.8820,1.6291,2.1942,0.6154,-2.3307,4.6836,4.8556,1.7592
Intra_Well,AP,D,RF,0.9931,0.2980,0.5301,0.1115,-4.1845,5.6750,6.0580,2.1247
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,-0.1213,-0.7851,-0.2796,-0.6580
Intra_Well,SPP,A,LR,0.8065,3.6394,4.5826,3.2128,-0.2177,4.4126,5.7496,3.4063
Intra_Well,SPP,A,RF,0.9923,0.4938,0.9129,0.4239,-0.3391,5.1977,6.0291,4.0643
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,0.5068,0.3369,0.3546,0.2680
Intra_Well,SPP,B,LR,0.6664,1.4984,2.2640,1.1731,-0.8661,1.8926,2.4202,1.4237
Intra_Well,SPP,B,RF,0.9694,0.3089,0.6853,0.2414,-0.3593,1.5557,2.0656,1.1557
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,-0.0711,-0.2330,-0.3135,-0.1985
Intra_Well,SPP,C,LR,0.9541,2.8412,3.7401,2.3057,0.6089,2.7732,3.5988,2.3245
Intra_Well,SPP,C,RF,0.9974,0.4919,0.8897,0.4066,0.5377,3.0062,3.9124,2.5230
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,-5.5523,-5.6245,-8.0632,-4.1343
Intra_Well,SPP,D,LR,0.7217,7.7121,11.1478,6.2723,-2.9233,14.1007,14.5520,11.4095
Intra_Well,SPP,D,RF,0.9951,0.7350,1.4853,0.5885,-8.4757,19.7253,22.6152,15.5438
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.1917,-0.8162,-1.0842,-0.3009
Leave_One_Out,AP,A,LR,0.7902,2.1846,2.8252,0.8147,0.8683,1.4874,1.9118,0.5678
Leave_One_Out,AP,A,RF,0.9820,0.4796,0.8268,0.1787,0.6766,2.3037,2.9960,0.8687
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-0.5664,-0.1491,-0.3580,-0.0566
Leave_One_Out,AP,B,LR,0.8353,1.9614,2.5636,0.7341,-1.4339,2.9901,3.2461,1.1261
Leave_One_Out,AP,B,RF,0.9903,0.3889,0.6230,0.1459,-2.0004,3.1392,3.6040,1.1827
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5505,-1.3881,-1.8284,-0.5022
Leave_One_Out,AP,C,LR,0.8557,1.6377,2.0947,0.6192,0.4130,3.7907,4.6634,1.3869
Leave_One_Out,AP,C,RF,0.9901,0.3419,0.5490,0.1284,-0.1375,5.1788,6.4917,1.8891
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,0.3414,0.6086,1.0387,0.2373
Leave_One_Out,AP,D,LR,0.8836,1.6300,2.1667,0.6090,-0.0915,4.3008,6.0742,1.6255
Leave_One_Out,AP,D,RF,0.9910,0.3843,0.6039,0.1441,0.2499,3.6922,5.0355,1.3883
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-1.4131,-7.1571,-7.2222,-5.8696
Leave_One_Out,SPP,A,LR,0.6498,7.7878,10.3225,6.3136,0.4514,6.4534,8.1058,5.6325
Leave_One_Out,SPP,A,RF,0.9899,0.9757,1.7504,0.7688,-0.9617,13.6105,15.3280,11.5021
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,0.5201,1.0316,0.8645,0.8089
Leave_One_Out,SPP,B,LR,0.6472,7.4191,9.8145,6.1236,-0.8050,4.6727,5.5307,3.6027
Leave_One_Out,SPP,B,RF,0.9892,0.9562,1.7147,0.7673,-0.2848,3.6411,4.6662,2.7939
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,-0.0829,-1.0082,-0.7601,-0.4947
Leave_One_Out,SPP,C,LR,0.6309,7.3075,9.8398,6.0583,0.2810,11.8336,13.5544,9.7704
Leave_One_Out,SPP,C,RF,0.9882,0.9537,1.7620,0.7574,0.1981,12.8418,14.3145,10.2651
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.0594,0.5693,0.6127,0.1283
Leave_One_Out,SPP,D,LR,0.8558,4.1176,5.0229,3.4440,0.1227,14.2721,17.7973,11.0269
Leave_One_Out,SPP,D,RF,0.9920,0.6837,1.1802,0.5642,0.1820,13.7028,17.1846,10.8986
