Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-17.0561,-3.0578,-3.0803,-1.1340
Intra_Well,AP,A,LR,0.9182,1.0714,1.3349,0.4108,-2.1267,1.7467,1.9993,0.6479
Intra_Well,AP,A,RF,0.9965,0.1773,0.2744,0.0676,-19.1828,4.8045,5.0795,1.7819
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,1.8986,0.6066,0.5642,0.2273
Intra_Well,AP,B,LR,0.8528,0.6130,0.8603,0.2310,-2.7142,1.5541,1.8754,0.5813
Intra_Well,AP,B,RF,0.9918,0.1164,0.2036,0.0438,-0.8156,0.9475,1.3112,0.3540
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.2269,-0.1511,-0.3008,-0.0554
Intra_Well,AP,C,LR,0.9231,1.1846,1.8353,0.4370,0.5549,1.1018,1.3148,0.4113
Intra_Well,AP,C,RF,0.9945,0.2915,0.4921,0.1087,0.3280,1.2530,1.6155,0.4668
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,-0.7176,-0.4252,-0.4510,-0.1528
Intra_Well,AP,D,LR,0.8534,1.8219,2.4371,0.6891,-3.1750,5.0632,5.4642,1.9015
Intra_Well,AP,D,RF,0.9928,0.3099,0.5387,0.1160,-3.8926,5.4884,5.9152,2.0544
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,0.0163,0.0879,0.0387,0.0712
Intra_Well,SPP,A,LR,0.8031,3.7326,4.6226,3.3060,-0.2155,4.4700,5.7442,3.4521
Intra_Well,SPP,A,RF,0.9926,0.4694,0.8955,0.4035,-0.1992,4.3821,5.7055,3.3808
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,0.2156,-0.0336,0.1468,-0.0059
Intra_Well,SPP,B,LR,0.6744,1.5480,2.2366,1.2098,-0.8023,1.7138,2.3785,1.2920
Intra_Well,SPP,B,RF,0.9692,0.3036,0.6878,0.2367,-0.5868,1.7474,2.2317,1.2978
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,0.0253,0.2356,0.1112,0.1921
Intra_Well,SPP,C,LR,0.9491,3.0128,3.9361,2.4571,0.5597,3.0032,3.8182,2.5136
Intra_Well,SPP,C,RF,0.9975,0.5072,0.8638,0.4202,0.5850,2.7676,3.7070,2.3215
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,3.3407,7.8386,7.0952,6.4734
Intra_Well,SPP,D,LR,0.7620,8.5027,11.4443,7.5049,-4.0082,16.1168,16.7741,13.0044
Intra_Well,SPP,D,RF,0.9971,0.6942,1.2559,0.5750,-0.6675,8.2782,9.6789,6.5310
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.2111,-0.9363,-1.1868,-0.3477
Leave_One_Out,AP,A,LR,0.7478,2.2341,3.0917,0.8313,0.8730,1.4692,1.8784,0.5604
Leave_One_Out,AP,A,RF,0.9843,0.4549,0.7715,0.1696,0.6619,2.4055,3.0652,0.9081
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-0.5548,-0.2619,-0.3490,-0.0979
Leave_One_Out,AP,B,LR,0.8038,2.0435,2.7946,0.7639,-1.4650,2.9655,3.2667,1.1174
Leave_One_Out,AP,B,RF,0.9886,0.4219,0.6737,0.1584,-2.0198,3.2273,3.6157,1.2153
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5767,-1.8461,-1.9813,-0.6764
Leave_One_Out,AP,C,LR,0.8135,1.7604,2.3779,0.6648,0.4771,3.1535,4.4016,1.1454
Leave_One_Out,AP,C,RF,0.9898,0.3515,0.5571,0.1320,-0.0997,4.9996,6.3829,1.8218
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,-0.0721,-0.4878,-0.2461,-0.1856
Leave_One_Out,AP,D,LR,0.8723,1.7394,2.2697,0.6501,0.3141,3.2067,4.8001,1.2041
Leave_One_Out,AP,D,RF,0.9913,0.3792,0.5941,0.1421,0.2420,3.6945,5.0462,1.3897
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-1.7019,-8.0317,-8.5873,-6.6043
Leave_One_Out,SPP,A,LR,0.6987,7.7975,10.3575,6.4102,0.5206,6.0561,7.5789,5.3159
Leave_One_Out,SPP,A,RF,0.9910,1.0245,1.7933,0.8179,-1.1814,14.0878,16.1662,11.9201
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.1577,0.4543,-0.2707,0.3054
Leave_One_Out,SPP,B,LR,0.6886,7.4534,9.8390,6.2285,-0.3597,4.0621,4.8003,3.1208
Leave_One_Out,SPP,B,RF,0.9907,0.9854,1.7005,0.8111,-0.5174,3.6078,5.0710,2.8154
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,-0.1763,-2.1306,-1.7303,-1.7163
Leave_One_Out,SPP,C,LR,0.6800,7.4555,9.9197,6.3973,0.4222,10.4861,12.1505,8.5149
Leave_One_Out,SPP,C,RF,0.9903,0.9989,1.7236,0.8188,0.2459,12.6167,13.8808,10.2312
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,-0.0188,-0.3494,-0.2279,-0.7523
Leave_One_Out,SPP,D,LR,0.8515,4.1649,5.0991,3.4777,0.2528,13.7932,18.1951,14.3435
Leave_One_Out,SPP,D,RF,0.9926,0.6614,1.1365,0.5447,0.2339,14.1427,18.4230,15.0958
