Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-19.7576,-3.1676,-3.3985,-1.1749
Intra_Well,AP,A,LR,0.9179,1.0674,1.3374,0.4093,-2.1818,1.7555,2.0168,0.6512
Intra_Well,AP,A,RF,0.9961,0.1853,0.2930,0.0706,-21.9394,4.9231,5.4153,1.8261
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,1.7628,0.5314,0.5552,0.1992
Intra_Well,AP,B,LR,0.7955,0.7462,1.0140,0.2816,-2.3490,1.4006,1.7808,0.5238
Intra_Well,AP,B,RF,0.9929,0.1072,0.1895,0.0403,-0.5862,0.8692,1.2255,0.3247
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.1832,-0.1697,-0.2047,-0.0617
Intra_Well,AP,C,LR,0.9509,0.8219,1.4669,0.3014,0.3115,1.2849,1.6352,0.4796
Intra_Well,AP,C,RF,0.9964,0.2219,0.3979,0.0822,0.1283,1.4546,1.8400,0.5413
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,1.2276,1.0104,0.9393,0.3857
Intra_Well,AP,D,LR,0.8716,1.7384,2.2809,0.6572,-2.6980,4.7491,5.1426,1.7835
Intra_Well,AP,D,RF,0.9931,0.2971,0.5285,0.1112,-1.4705,3.7388,4.2032,1.3978
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,0.0163,0.0879,0.0387,0.0712
Intra_Well,SPP,A,LR,0.8031,3.7326,4.6226,3.3060,-0.2155,4.4700,5.7442,3.4521
Intra_Well,SPP,A,RF,0.9926,0.4694,0.8955,0.4035,-0.1992,4.3821,5.7055,3.3808
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,0.2156,-0.0336,0.1468,-0.0059
Intra_Well,SPP,B,LR,0.6744,1.5480,2.2366,1.2098,-0.8023,1.7138,2.3785,1.2920
Intra_Well,SPP,B,RF,0.9692,0.3036,0.6878,0.2367,-0.5868,1.7474,2.2317,1.2978
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,0.0253,0.2356,0.1112,0.1921
Intra_Well,SPP,C,LR,0.9491,3.0128,3.9361,2.4571,0.5597,3.0032,3.8182,2.5136
Intra_Well,SPP,C,RF,0.9975,0.5072,0.8638,0.4202,0.5850,2.7676,3.7070,2.3215
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,3.3407,7.8386,7.0952,6.4734
Intra_Well,SPP,D,LR,0.7620,8.5027,11.4443,7.5049,-4.0082,16.1168,16.7741,13.0044
Intra_Well,SPP,D,RF,0.9971,0.6942,1.2559,0.5750,-0.6675,8.2782,9.6789,6.5310
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.2032,-0.7989,-1.1091,-0.2969
Leave_One_Out,AP,A,LR,0.7655,2.1759,2.9815,0.8091,0.8572,1.5659,1.9918,0.5971
Leave_One_Out,AP,A,RF,0.9841,0.4349,0.7766,0.1619,0.6540,2.3648,3.1009,0.8940
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-6.6790,-3.0132,-3.0653,-1.1307
Leave_One_Out,AP,B,LR,0.8136,2.0244,2.7242,0.7566,-1.3415,2.8764,3.1838,1.0839
Leave_One_Out,AP,B,RF,0.9901,0.3806,0.6277,0.1427,-8.0205,5.8895,6.2491,2.2146
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5873,-1.7711,-2.0367,-0.6480
Leave_One_Out,AP,C,LR,0.8258,1.7395,2.2983,0.6569,0.4956,3.1284,4.3230,1.1361
Leave_One_Out,AP,C,RF,0.9902,0.3435,0.5456,0.1291,-0.0917,4.8995,6.3597,1.7841
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,0.3999,0.8819,1.7551,0.3248
Leave_One_Out,AP,D,LR,0.8733,1.7248,2.2610,0.6444,0.3410,3.2247,4.7050,1.2113
Leave_One_Out,AP,D,RF,0.9910,0.3658,0.6025,0.1368,0.7410,2.3429,2.9499,0.8865
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-1.7019,-8.0317,-8.5873,-6.6043
Leave_One_Out,SPP,A,LR,0.6987,7.7975,10.3575,6.4102,0.5206,6.0561,7.5789,5.3159
Leave_One_Out,SPP,A,RF,0.9910,1.0245,1.7933,0.8179,-1.1814,14.0878,16.1662,11.9201
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.1577,0.4543,-0.2707,0.3054
Leave_One_Out,SPP,B,LR,0.6886,7.4534,9.8390,6.2285,-0.3597,4.0621,4.8003,3.1208
Leave_One_Out,SPP,B,RF,0.9907,0.9854,1.7005,0.8111,-0.5174,3.6078,5.0710,2.8154
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,-0.1763,-2.1306,-1.7303,-1.7163
Leave_One_Out,SPP,C,LR,0.6800,7.4555,9.9197,6.3973,0.4222,10.4861,12.1505,8.5149
Leave_One_Out,SPP,C,RF,0.9903,0.9989,1.7236,0.8188,0.2459,12.6167,13.8808,10.2312
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,-0.0188,-0.3494,-0.2279,-0.7523
Leave_One_Out,SPP,D,LR,0.8515,4.1649,5.0991,3.4777,0.2528,13.7932,18.1951,14.3435
Leave_One_Out,SPP,D,RF,0.9926,0.6614,1.1365,0.5447,0.2339,14.1427,18.4230,15.0958
