Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-15.0252,-2.1581,-2.2876,-0.8009
Intra_Well,AP,A,LR,0.9196,1.0293,1.2690,0.3937,-4.0293,2.0644,2.2948,0.7662
Intra_Well,AP,A,RF,0.9966,0.1568,0.2610,0.0599,-19.0545,4.2225,4.5824,1.5671
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,0.6548,0.1036,0.3166,0.0381
Intra_Well,AP,B,LR,0.9114,0.4479,0.6244,0.1687,-0.2426,0.7156,1.0140,0.2671
Intra_Well,AP,B,RF,0.9934,0.0993,0.1707,0.0374,0.4122,0.6120,0.6974,0.2290
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,0.8808,0.4596,0.5116,0.1703
Intra_Well,AP,C,LR,0.9797,0.5643,1.0195,0.2063,-0.8208,1.4314,1.8177,0.5335
Intra_Well,AP,C,RF,0.9973,0.1663,0.3735,0.0608,0.0599,0.9718,1.3060,0.3632
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,0.4909,0.4537,0.4075,0.1712
Intra_Well,AP,D,LR,0.8180,1.6772,2.2105,0.6323,-1.6296,3.7314,4.1515,1.4018
Intra_Well,AP,D,RF,0.9965,0.1835,0.3080,0.0688,-1.1386,3.2777,3.7439,1.2305
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,-0.0313,-0.6225,-0.0378,-0.5323
Intra_Well,SPP,A,LR,0.8122,3.2951,4.2068,2.9069,-1.3035,4.6337,5.5786,3.6325
Intra_Well,SPP,A,RF,0.9973,0.3245,0.5047,0.2807,-1.3348,5.2562,5.6163,4.1648
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,1.3996,0.4424,0.5286,0.3353
Intra_Well,SPP,B,LR,0.8020,1.2345,1.6115,0.9618,-1.6444,1.3640,1.6840,1.0163
Intra_Well,SPP,B,RF,0.9892,0.2188,0.3767,0.1696,-0.2448,0.9216,1.1554,0.6810
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,18.0342,12.6232,13.2162,11.0119
Intra_Well,SPP,C,LR,0.9596,3.0032,3.7039,2.4101,-19.9505,19.0029,21.0817,16.4770
Intra_Well,SPP,C,RF,0.9989,0.3592,0.6245,0.2897,-1.9164,6.3797,7.8655,5.4651
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,2.2253,3.5112,4.6460,2.8854
Intra_Well,SPP,D,LR,0.6035,9.1491,12.3048,7.4518,-2.7220,9.2210,12.6988,7.4581
Intra_Well,SPP,D,RF,0.9978,0.4589,0.9186,0.3496,-0.4967,5.7098,8.0528,4.5727
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.1422,-0.5023,-0.6062,-0.1812
Leave_One_Out,AP,A,LR,0.7601,2.2964,2.8841,0.8549,0.7180,2.0884,2.6765,0.7985
Leave_One_Out,AP,A,RF,0.9953,0.2403,0.4025,0.0896,0.5758,2.5906,3.2827,0.9797
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,0.2085,0.1035,0.1054,0.0401
Leave_One_Out,AP,B,LR,0.8166,2.0131,2.6123,0.7517,-2.9035,3.6839,3.8942,1.3858
Leave_One_Out,AP,B,RF,0.9941,0.2835,0.4695,0.1061,-2.6950,3.5803,3.7888,1.3456
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5394,-1.3143,-1.8119,-0.4696
Leave_One_Out,AP,C,LR,0.8314,1.5616,2.0026,0.5899,0.2651,4.9644,5.7192,1.8124
Leave_One_Out,AP,C,RF,0.9926,0.2616,0.4191,0.0982,-0.2743,6.2787,7.5311,2.2820
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,0.0595,-0.5107,0.1082,-0.1932
Leave_One_Out,AP,D,LR,0.8944,1.7465,2.1895,0.6520,-0.7465,4.2108,6.2975,1.5773
Leave_One_Out,AP,D,RF,0.9952,0.2826,0.4645,0.1057,-0.6870,4.7215,6.1894,1.7705
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-1.2626,-5.3490,-5.9229,-4.3201
Leave_One_Out,SPP,A,LR,0.5997,7.9599,10.7321,6.4641,0.4253,6.1139,7.5161,5.3288
Leave_One_Out,SPP,A,RF,0.9962,0.5805,1.0497,0.4506,-0.8373,11.4629,13.4390,9.6489
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.7621,-0.7268,-1.1581,-0.6165
Leave_One_Out,SPP,B,LR,0.6057,7.5918,10.0479,6.2471,-0.2514,3.5414,4.3141,2.7045
Leave_One_Out,SPP,B,RF,0.9955,0.6432,1.0774,0.5161,-1.0135,4.2682,5.4722,3.3210
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,0.1765,3.3290,2.0367,3.1577
Leave_One_Out,SPP,C,LR,0.5750,7.2495,9.9308,5.9685,0.3477,12.4999,13.9584,10.1292
Leave_One_Out,SPP,C,RF,0.9931,0.6952,1.2622,0.5465,0.5242,9.1709,11.9217,6.9716
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.1202,0.9161,1.0520,0.7347
Leave_One_Out,SPP,D,LR,0.8627,4.1893,5.0156,3.4756,-0.0695,14.5015,18.1773,11.0633
Leave_One_Out,SPP,D,RF,0.9971,0.4435,0.7254,0.3661,0.0507,13.5855,17.1253,10.3286
