Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-11.2383,-3.8048,-3.7495,-1.4126
Intra_Well,AP,A,LR,0.9039,1.1842,1.4699,0.4551,-0.4321,1.6228,1.8990,0.6031
Intra_Well,AP,A,RF,0.9925,0.2692,0.4100,0.1029,-11.6704,5.4276,5.6486,2.0157
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,0.6272,0.3452,0.3935,0.1296
Intra_Well,AP,B,LR,0.7494,0.9915,1.2434,0.3750,-0.2925,1.1340,1.3926,0.4253
Intra_Well,AP,B,RF,0.9825,0.1914,0.3282,0.0723,0.3347,0.7888,0.9991,0.2956
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.1764,-0.4815,-0.1857,-0.1765
Intra_Well,AP,C,LR,0.8526,1.8729,2.4379,0.6922,0.1177,1.2447,1.9458,0.4647
Intra_Well,AP,C,RF,0.9933,0.3213,0.5201,0.1193,-0.0587,1.7262,2.1315,0.6412
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,0.3641,0.2188,0.2979,0.0863
Intra_Well,AP,D,LR,0.8804,1.8356,2.3524,0.6956,-2.1037,4.4514,4.9245,1.6721
Intra_Well,AP,D,RF,0.9917,0.3695,0.6203,0.1388,-1.7396,4.2326,4.6266,1.5859
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,0.7090,2.4429,2.7840,2.0075
Intra_Well,SPP,A,LR,0.6472,5.5591,7.3265,5.1923,-0.3342,6.9013,8.8252,5.5499
Intra_Well,SPP,A,RF,0.9695,1.2949,2.1557,1.1984,0.3748,4.4583,6.0411,3.5424
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,-0.2726,-3.0510,-0.5979,-2.1475
Intra_Well,SPP,B,LR,0.1990,4.3353,6.6354,3.6442,-0.4147,3.6779,6.4914,2.9638
Intra_Well,SPP,B,RF,0.9466,0.7809,1.7138,0.6535,-0.6873,6.7288,7.0893,5.1113
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,-0.5098,-0.7127,-1.8984,-0.5130
Intra_Well,SPP,C,LR,0.8604,4.3494,6.4058,3.7140,0.2185,5.6065,6.6511,4.7895
Intra_Well,SPP,C,RF,0.9871,1.0564,1.9435,0.9074,-0.2913,6.3193,8.5495,5.3025
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,1.2933,6.1457,4.4997,5.0821
Intra_Well,SPP,D,LR,0.7426,8.9848,11.8987,8.1051,-2.0004,17.3945,18.3133,14.6275
Intra_Well,SPP,D,RF,0.9831,1.6918,3.0507,1.4355,-0.7071,11.2487,13.8136,9.5454
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.1357,-0.7370,-0.8002,-0.2806
Leave_One_Out,AP,A,LR,0.7715,2.2714,3.0069,0.8475,0.8552,1.5818,2.0423,0.6038
Leave_One_Out,AP,A,RF,0.9847,0.4794,0.7793,0.1793,0.7195,2.3187,2.8425,0.8844
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-4.1848,-2.0909,-2.6219,-0.7909
Leave_One_Out,AP,B,LR,0.8152,2.0912,2.7649,0.7843,-0.6643,2.6443,2.9975,0.9978
Leave_One_Out,AP,B,RF,0.9862,0.4837,0.7550,0.1818,-4.8491,4.7352,5.6193,1.7887
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5312,-1.4549,-1.7866,-0.5305
Leave_One_Out,AP,C,LR,0.8286,1.8620,2.3900,0.7049,0.4922,2.9473,4.1513,1.0735
Leave_One_Out,AP,C,RF,0.9875,0.4172,0.6467,0.1574,-0.0390,4.4021,5.9379,1.6040
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,0.1317,0.2439,0.7163,0.0916
Leave_One_Out,AP,D,LR,0.8520,1.7781,2.4130,0.6648,0.6074,2.7726,3.8752,1.0496
Leave_One_Out,AP,D,RF,0.9858,0.4678,0.7476,0.1754,0.7392,2.5287,3.1588,0.9580
Leave_One_Out,SPP,A,Improvement_RF_vs_LR,,,,,-0.4652,-2.3618,-3.4235,-1.8599
Leave_One_Out,SPP,A,LR,0.6465,8.5925,11.3310,7.2068,0.4527,7.3295,9.5053,6.7115
Leave_One_Out,SPP,A,RF,0.9689,1.9770,3.3587,1.6665,-0.0125,9.6913,12.9288,8.5714
Leave_One_Out,SPP,B,Improvement_RF_vs_LR,,,,,-0.2216,-1.5696,-0.7781,-1.1516
Leave_One_Out,SPP,B,LR,0.6361,8.3638,10.9417,7.1655,-0.0225,4.7907,7.5499,3.9792
Leave_One_Out,SPP,B,RF,0.9604,2.1663,3.6076,1.8647,-0.2441,6.3603,8.3280,5.1308
Leave_One_Out,SPP,C,Improvement_RF_vs_LR,,,,,0.1378,1.7142,1.5011,1.5786
Leave_One_Out,SPP,C,LR,0.6262,8.5289,11.1365,7.4836,0.4000,10.6832,12.2724,8.7566
Leave_One_Out,SPP,C,RF,0.9639,2.1559,3.4618,1.8827,0.5378,8.9690,10.7712,7.1779
Leave_One_Out,SPP,D,Improvement_RF_vs_LR,,,,,0.0749,1.9442,0.9577,0.8656
Leave_One_Out,SPP,D,LR,0.7155,5.5214,7.5760,4.8466,0.2665,14.5994,18.2550,13.5676
Leave_One_Out,SPP,D,RF,0.9691,1.4846,2.4987,1.2872,0.3414,12.6553,17.2974,12.7020
