Split_Strategy,Target,Well,Model_Type,Train_R2,Train_MAE,Train_RMSE,Train_MAPE,Test_R2,Test_MAE,Test_RMSE,Test_MAPE
Intra_Well,AP,A,Improvement_RF_vs_LR,,,,,-18.5018,-3.0999,-3.3484,-1.1497
Intra_Well,AP,A,LR,0.9210,1.0266,1.3114,0.3935,-1.6996,1.6176,1.8577,0.6001
Intra_Well,AP,A,RF,0.9961,0.1850,0.2925,0.0705,-20.2014,4.7175,5.2061,1.7498
Intra_Well,AP,B,Improvement_RF_vs_LR,,,,,1.7628,0.5314,0.5552,0.1992
Intra_Well,AP,B,LR,0.7955,0.7462,1.0140,0.2816,-2.3490,1.4006,1.7808,0.5238
Intra_Well,AP,B,RF,0.9929,0.1072,0.1895,0.0403,-0.5862,0.8692,1.2255,0.3247
Intra_Well,AP,C,Improvement_RF_vs_LR,,,,,-0.1832,-0.1697,-0.2047,-0.0617
Intra_Well,AP,C,LR,0.9509,0.8219,1.4669,0.3014,0.3115,1.2849,1.6352,0.4796
Intra_Well,AP,C,RF,0.9964,0.2219,0.3979,0.0822,0.1283,1.4546,1.8400,0.5413
Intra_Well,AP,D,Improvement_RF_vs_LR,,,,,1.0774,1.1826,0.8377,0.4512
Intra_Well,AP,D,LR,0.8863,1.6156,2.1541,0.6103,-2.4924,4.7870,4.9736,1.7981
Intra_Well,AP,D,RF,0.9938,0.2855,0.5024,0.1067,-1.4150,3.6043,4.1358,1.3469
Intra_Well,SPP,A,Improvement_RF_vs_LR,,,,,-0.0496,-0.0640,-0.1172,-0.0475
Intra_Well,SPP,A,LR,0.8053,3.6786,4.5969,3.2527,-0.1908,4.3811,5.6855,3.3792
Intra_Well,SPP,A,RF,0.9930,0.4567,0.8740,0.3926,-0.2404,4.4451,5.8027,3.4266
Intra_Well,SPP,B,Improvement_RF_vs_LR,,,,,0.2156,-0.0336,0.1468,-0.0059
Intra_Well,SPP,B,LR,0.6744,1.5480,2.2366,1.2098,-0.8023,1.7138,2.3785,1.2920
Intra_Well,SPP,B,RF,0.9692,0.3036,0.6878,0.2367,-0.5868,1.7474,2.2317,1.2978
Intra_Well,SPP,C,Improvement_RF_vs_LR,,,,,0.0253,0.2356,0.1112,0.1921
Intra_Well,SPP,C,LR,0.9491,3.0128,3.9361,2.4571,0.5597,3.0032,3.8182,2.5136
Intra_Well,SPP,C,RF,0.9975,0.5072,0.8638,0.4202,0.5850,2.7676,3.7070,2.3215
Intra_Well,SPP,D,Improvement_RF_vs_LR,,,,,-4.8764,-5.2127,-7.0134,-3.7977
Intra_Well,SPP,D,LR,0.7213,7.7104,11.1545,6.2804,-3.3133,14.8478,15.2585,11.9999
Intra_Well,SPP,D,RF,0.9956,0.7330,1.4044,0.5874,-8.1897,20.0606,22.2719,15.7976
Leave_One_Out,AP,A,Improvement_RF_vs_LR,,,,,-0.2141,-0.8398,-1.1829,-0.3101
Leave_One_Out,AP,A,LR,0.7940,2.1631,2.8001,0.8063,0.8671,1.4867,1.9206,0.5675
Leave_One_Out,AP,A,RF,0.9851,0.4267,0.7541,0.1588,0.6530,2.3265,3.1035,0.8776
Leave_One_Out,AP,B,Improvement_RF_vs_LR,,,,,-7.5279,-3.2118,-3.3377,-1.2053
Leave_One_Out,AP,B,LR,0.8370,1.9511,2.5505,0.7300,-1.3850,2.9530,3.2133,1.1121
Leave_One_Out,AP,B,RF,0.9907,0.3681,0.6085,0.1378,-8.9129,6.1648,6.5509,2.3174
Leave_One_Out,AP,C,Improvement_RF_vs_LR,,,,,-0.5554,-1.3086,-1.8513,-0.4711
Leave_One_Out,AP,C,LR,0.8569,1.6290,2.0855,0.6159,0.4210,3.7454,4.6317,1.3699
Leave_One_Out,AP,C,RF,0.9911,0.3308,0.5208,0.1242,-0.1344,5.0540,6.4830,1.8410
Leave_One_Out,AP,D,Improvement_RF_vs_LR,,,,,0.7217,1.8316,2.8273,0.6897
