,Depth(m),TVD(m),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),mass_flow,depth_normalized,depth_rel,inclination_proxy,dWOB_dmd,dFlow_dmd,dROP_dmd,WOB_mean_10m,Flow_mean_10m,torque_per_rpm,rop_per_rpm,SPP Avg(bar),Annular Press(barg)
Depth(m),1.0,0.4303301701139673,-0.5464516880203107,-0.14615901299746992,0.7582450202438691,-0.32388278597932524,-0.07764528564720057,-0.30133293495671404,-0.5994858694601904,0.4182089678057877,0.6345845108244842,0.9999959402628874,-0.002152577427232338,0.0012260766578635347,-0.0013858035712903875,-0.3392162760485221,-0.5673504932641147,0.5964304117711545,-0.13644956300363897,0.24553105412935586,0.5806875558330785
TVD(m),0.4303301701139673,1.0,-0.3546885523690487,-0.14637225716761404,0.5158353646074931,-0.11548749061487776,-0.33269594619151677,-0.03615267582957393,-0.2916882130845514,-0.1249509085147115,0.22386992648540638,0.42775629096588225,0.0031910305206452887,0.0018436508867056083,-0.0001538048240324099,-0.12607276996723207,-0.36952872952766774,0.49309566204737115,0.008508721627103637,-0.34125765460281837,-0.004796835731332216
Flow In Pum Avg(lpm),-0.5464516880203107,-0.3546885523690487,1.0,0.22334697413677984,-0.284016005208154,0.4028928422535354,0.22106397729810975,0.050220134133222606,0.7862743140774886,-0.08094127665581885,-0.2340176381164706,-0.5435974860477808,-0.0015351903425738788,0.1432655618751482,-0.002942978385539673,0.4345916766137797,0.9581161360967152,-0.33810326370588517,0.14577430307631653,0.3957096835956214,0.03179253057057201
ROP Avg(m/hr),-0.14615901299746992,-0.14637225716761404,0.22334697413677984,1.0,0.09639451469490098,0.4372165672663288,0.11941261283839029,-0.045043155100050664,0.1399807774029924,0.028314325411494052,-0.023203331658872298,-0.17843942365440282,0.11424547125906637,0.010837821074163086,0.27203545518384487,0.3965580258544492,0.2268127137585586,-0.04859531009139939,0.892955709988462,0.17120486358456538,0.12513822165529567
Torque Abs Avg(kN-m),0.7582450202438691,0.5158353646074931,-0.284016005208154,0.09639451469490098,1.0,0.1961141647498973,-0.14962077964194428,-0.17126055633539006,-0.3185421175742731,0.1622391320850606,0.5075961509095245,0.747945892237663,0.05840308852149739,0.002511296650834915,0.0030830424212863593,0.15251822750851945,-0.2950770619249735,0.7963657788890544,0.13954952834921028,0.31025867941053775,0.6098727047721959
WOB Avg(mton),-0.32388278597932524,-0.11548749061487776,0.4028928422535354,0.4372165672663288,0.1961141647498973,1.0,-0.012623220101706141,0.055405862515272894,0.3388220811183855,-0.23911742518008922,-0.1218150606963926,-0.34220589268179535,0.13491901372585596,0.0003749049695089208,-0.005101233652721747,0.9232825982795531,0.41799454749823617,0.1462728869231151,0.43044332071774405,0.26058055878259423,0.1164327223855736
RPM Surface Avg(rpm),-0.07764528564720057,-0.33269594619151677,0.22106397729810975,0.11941261283839029,-0.14962077964194428,-0.012623220101706141,1.0,-0.06240251099501036,0.13334400975094918,0.49666111453128453,0.2507976281278901,-0.06461292728320539,-0.012926523110272422,-0.0004090343560614511,-0.0036750094311159306,-0.009232593410142514,0.22525991246993876,-0.6697333053773372,-0.31284484183805467,0.2278255587097533,0.18277052313640085
Dens Mud(sg),-0.30133293495671404,-0.03615267582957393,0.050220134133222606,-0.045043155100050664,-0.17126055633539006,0.055405862515272894,-0.06240251099501036,1.0,0.6564229937242212,-0.31296938718072564,-0.29919877905160736,-0.3063922973367745,-0.0010646089015548667,-0.0025531241904578365,0.0027338991453322017,0.06051128047748367,0.05553170925391565,-0.08356706607149365,-0.014784635494650618,-0.17705689845502337,-0.20805248754705857
mass_flow,-0.5994858694601904,-0.2916882130845514,0.7862743140774886,0.1399807774029924,-0.3185421175742731,0.3388220811183855,0.13334400975094918,0.6564229937242212,1.0,-0.2566970867244705,-0.36149759909611545,-0.5997098145129963,-0.0019302792721852724,0.10719350861052042,-0.0006293217174889163,0.36587409690264006,0.7577044020794342,-0.3053191113493352,0.09954727421667059,0.19646716124715796,-0.09969027129638847
depth_normalized,0.4182089678057877,-0.1249509085147115,-0.08094127665581885,0.028314325411494052,0.1622391320850606,-0.23911742518008922,0.49666111453128453,-0.31296938718072564,-0.2566970867244705,1.0,0.7988236425029888,0.40413415808863024,-0.004573443090055115,0.0018778906203222392,-0.0014270410062323373,-0.24851812022731828,-0.0862915566828703,-0.16307495939831354,-0.19113540122274336,0.2047309506595302,0.23716178108214614
depth_rel,0.6345845108244842,0.22386992648540638,-0.2340176381164706,-0.023203331658872298,0.5075961509095245,-0.1218150606963926,0.2507976281278901,-0.29919877905160736,-0.36149759909611545,0.7988236425029888,1.0,0.6203958518516416,-0.005984318226495995,0.0024218812380775922,-0.0023534956553690986,-0.1230880427151137,-0.24549988310157753,0.22080820664325465,-0.14450846585717017,0.20215612201574046,0.3418367960816901
inclination_proxy,0.9999959402628874,0.42775629096588225,-0.5435974860477808,-0.17843942365440282,0.747945892237663,-0.34220589268179535,-0.06461292728320539,-0.3063922973367745,-0.5997098145129963,0.40413415808863024,0.6203958518516416,1.0,-0.001367817839458039,0.0009217294310936801,-0.0011569156959532428,-0.3592492733676308,-0.5645210213369914,0.583872986800022,-0.17148448290647433,0.21742110614888183,0.5631622347869508
dWOB_dmd,-0.002152577427232338,0.0031910305206452887,-0.0015351903425738788,0.11424547125906637,0.05840308852149739,0.13491901372585596,-0.012926523110272422,-0.0010646089015548667,-0.0019302792721852724,-0.004573443090055115,-0.005984318226495995,-0.001367817839458039,1.0,-0.007926096223243135,0.19432002557549927,-0.06412815600474292,0.0018396604996520052,0.04896548488596639,0.11597151700492371,0.00290157874368459,0.005011902914308556
dFlow_dmd,0.0012260766578635347,0.0018436508867056083,0.1432655618751482,0.010837821074163086,0.002511296650834915,0.0003749049695089208,-0.0004090343560614511,-0.0025531241904578365,0.10719350861052042,0.0018778906203222392,0.0024218812380775922,0.0009217294310936801,-0.007926096223243135,1.0,0.0057362958551186,0.005243245924212239,-0.021860152701647845,-0.000363367531276128,0.008498016434077032,0.0033176345150775317,0.0013333178233785581
dROP_dmd,-0.0013858035712903875,-0.0001538048240324099,-0.002942978385539673,0.27203545518384487,0.0030830424212863593,-0.005101233652721747,-0.0036750094311159306,0.0027338991453322017,-0.0006293217174889163,-0.0014270410062323373,-0.0023534956553690986,-0.0011569156959532428,0.19432002557549927,0.0057362958551186,1.0,-0.017626037612256718,-0.000631015679586833,0.0036118204298328104,0.25975219017945955,-0.008107219920755292,0.0025702922797180825
WOB_mean_10m,-0.3392162760485221,-0.12607276996723207,0.4345916766137797,0.3965580258544492,0.15251822750851945,0.9232825982795531,-0.009232593410142514,0.06051128047748367,0.36587409690264006,-0.24851812022731828,-0.1230880427151137,-0.3592492733676308,-0.06412815600474292,0.005243245924212239,-0.017626037612256718,1.0,0.4434966192486466,0.1124140965389582,0.39084699001759254,0.27657908724418084,0.12266198546827571
Flow_mean_10m,-0.5673504932641147,-0.36952872952766774,0.9581161360967152,0.2268127137585586,-0.2950770619249735,0.41799454749823617,0.22525991246993876,0.05553170925391565,0.7577044020794342,-0.0862915566828703,-0.24549988310157753,-0.5645210213369914,0.0018396604996520052,-0.021860152701647845,-0.000631015679586833,0.4434966192486466,1.0,-0.3472435895546484,0.14845803419550255,0.40141699539260356,0.029419632674976517
torque_per_rpm,0.5964304117711545,0.49309566204737115,-0.33810326370588517,-0.04859531009139939,0.7963657788890544,0.1462728869231151,-0.6697333053773372,-0.08356706607149365,-0.3053191113493352,-0.16307495939831354,0.22080820664325465,0.583872986800022,0.04896548488596639,-0.000363367531276128,0.0036118204298328104,0.1124140965389582,-0.3472435895546484,1.0,0.23399552541879975,0.11694743358321232,0.35051099109469386
rop_per_rpm,-0.13644956300363897,0.008508721627103637,0.14577430307631653,0.892955709988462,0.13954952834921028,0.43044332071774405,-0.31284484183805467,-0.014784635494650618,0.09954727421667059,-0.19113540122274336,-0.14450846585717017,-0.17148448290647433,0.11597151700492371,0.008498016434077032,0.25975219017945955,0.39084699001759254,0.14845803419550255,0.23399552541879975,1.0,0.057430681534291324,0.02310770727198898
SPP Avg(bar),0.24553105412935586,-0.34125765460281837,0.3957096835956214,0.17120486358456538,0.31025867941053775,0.26058055878259423,0.2278255587097533,-0.17705689845502337,0.19646716124715796,0.2047309506595302,0.20215612201574046,0.21742110614888183,0.00290157874368459,0.0033176345150775317,-0.008107219920755292,0.27657908724418084,0.40141699539260356,0.11694743358321232,0.057430681534291324,1.0,0.8107024297931197
Annular Press(barg),0.5806875558330785,-0.004796835731332216,0.03179253057057201,0.12513822165529567,0.6098727047721959,0.1164327223855736,0.18277052313640085,-0.20805248754705857,-0.09969027129638847,0.23716178108214614,0.3418367960816901,0.5631622347869508,0.005011902914308556,0.0013333178233785581,0.0025702922797180825,0.12266198546827571,0.029419632674976517,0.35051099109469386,0.02310770727198898,0.8107024297931197,1.0
